07 juin 2024 10:56:48.760 ;  INFO  ; Searching in vertical cafetiere
07 juin 2024 10:57:10.644 ;  INFO  ; Searching in vertical cafetiere
07 juin 2024 10:58:23.271 ;  INFO  ; Searching in vertical cafetiere
07 juin 2024 10:58:24.319 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:27:31.157 ;  INFO  ; Searching in vertical tv
08 juin 2024 21:27:33.010 ;  INFO  ; Searching in vertical tv
08 juin 2024 21:27:44.481 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:27:45.243 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:28:06.593 ;  INFO  ; Searching in vertical tv
08 juin 2024 21:28:06.922 ;  INFO  ; Searching in vertical tv
08 juin 2024 21:28:42.219 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:28:42.482 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:28:55.337 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:28:55.587 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:29:34.292 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:29:34.554 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:31:36.067 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:31:36.920 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:31:43.050 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 21:31:43.307 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 23:27:51.595 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 23:27:52.751 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 23:46:59.985 ;  INFO  ; Searching in vertical cafetiere
08 juin 2024 23:47:00.892 ;  INFO  ; Searching in vertical cafetiere
10 juin 2024 17:03:49.333 ;  INFO  ; Searching in vertical tv
10 juin 2024 17:03:50.295 ;  INFO  ; Searching in vertical tv
10 juin 2024 17:34:43.477 ;  INFO  ; Searching in vertical tv
10 juin 2024 17:34:44.418 ;  INFO  ; Searching in vertical tv
10 juin 2024 17:44:43.746 ;  INFO  ; Searching in vertical cafetiere
10 juin 2024 17:44:44.576 ;  INFO  ; Searching in vertical cafetiere
